2023-08-18 11:33:46,ON
2023-08-18 11:34:05,OFF
2023-08-18 11:34:12,ON
2023-08-18 11:35:02,OFF
2023-08-18 11:35:41,ON
2023-08-18 11:35:47,OFF
2023-08-18 12:17:41,ON
2023-08-18 12:17:45,OFF
2023-08-18 12:18:33,ON
2023-08-18 12:18:37,OFF
2023-08-18 12:19:09,ON
2023-08-18 12:19:11,OFF
2023-08-18 12:25:54,ON
2023-08-18 12:26:38,OFF
2023-08-18 12:26:48,ON
2023-08-18 12:26:50,OFF
2023-08-18 14:12:46,ON
2023-08-18 14:13:09,OFF
2023-08-18 14:13:21,ON
2023-08-18 14:13:34,OFF
2023-08-18 14:13:53,ON
2023-08-18 14:13:57,OFF
2023-08-18 14:14:18,ON
2023-08-18 14:14:32,OFF
2023-08-18 14:24:30,ON
